character,unicode,short description,tags,LLM description
🇻🇮,U+1F1FB 1F1EE,U.S. VIRGIN ISLANDS,['U.S. Virgin Islands' 'flag' 'Caribbean' 'islands' 'culture' 'travel'],"This emoji represents the U.S. Virgin Islands, a group of islands in the Caribbean known for their beautiful beaches, rich culture, and vibrant local communities."
🆙,U+1F199,UP! BUTTON,['up' 'increase' 'progress' 'elevation' 'improvement' 'lift' 'move upward'],"This emoji represents an up button, often used to indicate an increase, improvement, or progress, and can be associated with lifting, elevation, or moving upward."
🇺🇬,U+1F1FA 1F1EC,UGANDA,['Uganda' 'flag' 'Africa' 'culture' 'landscape' 'heritage'],"This emoji represents Uganda, an East African country known for its diverse landscapes, including the source of the Nile River, and its rich cultural heritage with the Baganda people and other ethnic groups."
🇺🇦,U+1F1FA 1F1E6,UKRAINE,['Ukraine' 'flag' 'Eastern Europe' 'culture' 'history'],"This emoji represents Ukraine, a country in Eastern Europe known for its rich history, diverse culture, and beautiful landscapes, including the Carpathian Mountains and the Black Sea coast."
🇦🇪,U+1F1E6 1F1EA,UNITED ARAB EMIRATES,['United Arab Emirates' 'flag' 'Middle East' 'culture' 'tourism'],"This emoji represents the United Arab Emirates, a country known for its modern architecture, rich cultural heritage, and thriving tourism industry."
🇬🇧,U+1F1EC 1F1E7,UNITED KINGDOM,['United Kingdom' 'flag' 'culture' 'history' 'London'],"This emoji represents the United Kingdom, a country known for its rich history, culture, and global influence, including its capital city, London."
🇺🇳,U+1F1FA 1F1F3,UNITED NATIONS,"['United Nations' 'international organization' 'peace' 'cooperation'
 'diplomacy' 'global' 'New York City']","This emoji represents the United Nations, an international organization founded in 1945 to promote peace, security, and cooperation among nations, with its headquarters in New York City."
🇺🇸,U+1F1FA 1F1F8,UNITED STATES,"['United States' 'flag' 'patriotism' 'America' 'country' 'culture'
 'history']","This emoji represents the United States, a country known for its diverse culture, history, and global influence, often used to express patriotism or to indicate American content."
🇺🇾,U+1F1FA 1F1FE,URUGUAY,['Uruguay' 'flag' 'South America' 'culture' 'soccer'],"This emoji represents Uruguay, a South American country known for its beautiful beaches, rich cultural heritage, and vibrant soccer culture."
🇺🇿,U+1F1FA 1F1FF,UZBEKISTAN,['Uzbekistan' 'flag' 'Central Asia' 'culture' 'history' 'landscape'],"This emoji represents Uzbekistan, a Central Asian country known for its rich history, diverse culture, and stunning landscapes, including the Aral Sea and the Kyzylkum Desert."
🆚,U+1F19A,VS BUTTON,['versus' 'comparison' 'competition' 'matchup' 'sports' 'gaming'],"This emoji represents a'versus' button or symbol, often used in sports, gaming, and competition contexts to indicate a comparison or head-to-head matchup."
🇻🇺,U+1F1FB 1F1FA,VANUATU,['Vanuatu' 'flag' 'island' 'culture' 'South Pacific' 'tropical'],"This emoji represents Vanuatu, a small island country in the South Pacific known for its unique culture, vibrant festivals, and stunning tropical landscapes."
🇻🇦,U+1F1FB 1F1E6,VATICAN CITY,['Vatican City' 'flag' 'religion' 'Catholic' 'history' 'art'],"This emoji represents Vatican City, an independent city-state and the headquarters of the Roman Catholic Church, known for its rich history, art, and religious significance."
🇻🇪,U+1F1FB 1F1EA,VENEZUELA,['Venezuela' 'flag' 'South America' 'culture' 'landscape' 'politics'],"This emoji represents Venezuela, a country in South America known for its rich cultural heritage, diverse landscapes, and political challenges."
🇻🇳,U+1F1FB 1F1F3,VIETNAM,['Vietnam' 'flag' 'culture' 'Southeast Asia' 'history' 'landscape'],"This emoji represents Vietnam, a Southeast Asian country known for its rich history, diverse culture, and beautiful landscapes, including the iconic Halong Bay."
♍,U+264D,VIRGO,"['Virgo' 'zodiac' 'astrology' 'purity' 'perfection' 'intelligence'
 'August' 'September']","This emoji represents Virgo, the sixth sign of the zodiac, symbolizing purity, perfection, and intelligence, often associated with those born between August 23 and September 22."
🏴󠁧󠁢󠁷󠁬󠁳󠁿,U+1F3F4 E0067 E0062 E0077 E006C E0073 E007F,WALES,['Wales' 'flag' 'United Kingdom' 'culture' 'history' 'landscape' 'Welsh'],"This emoji represents Wales, a country in the United Kingdom known for its rich history, stunning landscapes, and vibrant culture, including the Welsh language and traditional music and dance."
🇼🇫,U+1F1FC 1F1EB,WALLIS & FUTUNA,"['Wallis & Futuna' 'flag' 'South Pacific' 'French overseas collectivity'
 'culture' 'history']","This emoji represents Wallis & Futuna, a French overseas collectivity located in the South Pacific, known for its unique culture, beautiful landscapes, and rich history."
🇪🇭,U+1F1EA 1F1ED,WESTERN SAHARA,"['Western Sahara' 'flag' 'North Africa' 'desert' 'culture'
 'disputed territory']","This emoji represents Western Sahara, a disputed territory in North Africa known for its vast desert landscapes and rich cultural heritage."
🇾🇪,U+1F1FE 1F1EA,YEMEN,['Yemen' 'flag' 'culture' 'Arab' 'history'],"This emoji represents Yemen, an Arab country known for its rich history, including ancient civilizations like Saba, and diverse landscapes ranging from desert plains to fertile mountains."
💤,U+1F4A4,ZZZ,['sleep' 'rest' 'tiredness' 'relaxation' 'ZZZ'],"This emoji represents a person sleeping or resting, often used to express tiredness, relaxation, or the need for rest."
🇿🇲,U+1F1FF 1F1F2,ZAMBIA,['Zambia' 'flag' 'Africa' 'culture' 'nature' 'travel'],"This emoji represents Zambia, a landlocked country in Southern Africa known for its stunning Victoria Falls, diverse wildlife, and rich cultural heritage."
🇿🇼,U+1F1FF 1F1FC,ZIMBABWE,['Zimbabwe' 'flag' 'Africa' 'culture' 'history' 'nature' 'wildlife'],"This emoji represents Zimbabwe, a country in southern Africa known for its rich history, diverse wildlife, and natural wonders such as Victoria Falls."
🧮,U+1F9EE,ABACUS,['abacus' 'counting' 'arithmetic' 'calculation' 'education' 'tool'],"This emoji represents an abacus, a traditional counting device used in ancient times and still used today in some cultures, primarily for arithmetic calculations."
🪗,U+1FA97,ACCORDION,['accordion' 'musical instrument' 'music' 'portable' 'bellows' 'keys'],"This emoji represents an accordion, a portable musical instrument with a hand-held bellows and folded metal or wood keys, often used in various music genres like folk, jazz, and polka."
🩹,U+1FA79,ADHESIVE BANDAGE,"['adhesive bandage' 'healing' 'first aid' 'care' 'wound' 'injury'
 'medical']","This emoji represents an adhesive bandage, symbolizing healing, first aid, and care, often used to cover minor wounds or injuries."
🎟️,U+1F39F FE0F,ADMISSION TICKETS,"['ticket' 'admission' 'event' 'performance' 'access' 'entertainment'
 'gathering']","This emoji represents admission tickets, often used to denote access to events, performances, or attractions, symbolizing the excitement of attending a show or gathering."
🎟,U+1F39F,ADMISSION TICKETS,"['ticket' 'admission' 'event' 'performance' 'access' 'entertainment'
 'experience']","This emoji represents admission tickets, often used to denote access to events, performances, or attractions, symbolizing the excitement of attending an event or experience."
🚡,U+1F6A1,AERIAL TRAMWAY,"['aerial tramway' 'transportation' 'cable car' 'mountain' 'amusement park'
 'travel' 'adventure']","This emoji represents an aerial tramway, a type of cable transportation system used for moving passengers and cargo across varying terrains, often found in mountainous areas or amusement parks."
✈️,U+2708 FE0F,AIRPLANE,"['airplane' 'transportation' 'travel' 'flight' 'aviation' 'adventure'
 'international']","This emoji represents an airplane, a vehicle used for air travel, often associated with transportation, adventure, and international travel."
✈,U+2708,AIRPLANE,"['airplane' 'transportation' 'travel' 'flight' 'aviation' 'adventure'
 'sky']","This emoji represents an airplane, a vehicle used for air travel, often associated with transportation, adventure, and international travel."
🛬,U+1F6EC,AIRPLANE ARRIVAL,"['airplane' 'arrival' 'transportation' 'travel' 'aviation' 'homecoming'
 'destination']","This emoji represents an airplane arriving at an airport, often used to convey travel, transportation, and the excitement of returning home or visiting new places."
🛫,U+1F6EB,AIRPLANE DEPARTURE,"['airplane' 'departure' 'travel' 'transportation' 'journey' 'flight'
 'aviation']","This emoji represents an airplane taking off, symbolizing travel, transportation, and departure from one location to another."
⏰,U+23F0,ALARM CLOCK,['alarm clock' 'time' 'wake-up' 'reminder' 'urgency' 'schedule' 'event'],"This emoji represents an alarm clock, symbolizing time, wake-up, and reminders, often used to express the need for urgency or to indicate a scheduled event."
⚗️,U+2697 FE0F,ALEMBIC,"['alchemy' 'gold' 'discovery' 'creativity' 'inspiration'
 'scientific method' 'experimentation']","This emoji represents an alchemy symbol for gold, often used to symbolize discovery, creativity, and inspiration, as well as scientific experimentation and the scientific method."
⚗,U+2697,ALEMBIC,"['alchemy' 'retort' 'experimentation' 'discovery' 'science'
 'scientific process']","This emoji represents an alchemy symbol for a retort, often used to symbolize experimentation, discovery, and the scientific process."
👽,U+1F47D,ALIEN,"['alien' 'extraterrestrial' 'space' 'exploration' 'science fiction'
 'otherworldly' 'beings']","This emoji represents an alien, often used to symbolize extraterrestrial life, space exploration, and otherworldly beings in science fiction and pop culture."
👾,U+1F47E,ALIEN MONSTER,['alien' 'monster' 'sci-fi' 'fear' 'humor' 'otherworldly' 'creature'],"This emoji represents an alien monster, often used to convey a sense of otherworldly, sci-fi creatures, and can symbolize fear, mystery, or humor in various contexts."
🚑,U+1F691,AMBULANCE,"['ambulance' 'emergency' 'medical' 'transportation' 'care' 'rescue'
 'emergency vehicle']","This emoji represents an ambulance, a vehicle used for emergency medical transportation and care, often associated with saving lives and providing urgent assistance."
🏈,U+1F3C8,AMERICAN FOOTBALL,['American football' 'sport' 'ball' 'throw' 'catch' 'run' 'United States'],"This emoji represents an American football, a popular sport in the United States, characterized by its oval shape and the way players throw, catch, and run with the ball."
🏺,U+1F3FA,AMPHORA,"['amphora' 'ancient' 'Greek' 'history' 'art' 'culture' 'vessel' 'storage'
 'transportation']","This emoji represents an amphora, an ancient Greek vessel used for storing and transporting liquids, often associated with history, art, and classical culture."
🫀,U+1FAC0,ANATOMICAL HEART,"['heart' 'love' 'emotions' 'cardiovascular system' 'anatomy' 'medical'
 'affection']","This emoji represents an anatomical heart, symbolizing love, emotions, and the human cardiovascular system, often used to express feelings of affection or to represent medical topics related to the heart."
⚓,U+2693,ANCHOR,['anchor' 'stability' 'safety' 'support' 'boat' 'ship' 'water'],"This emoji represents an anchor, a heavy object used to secure a boat or ship to the bottom of a body of water, symbolizing stability, safety, and support."
💢,U+1F4A2,ANGER SYMBOL,['anger' 'frustration' 'annoyance' 'irritation' 'emotion' 'symbol'],"This emoji represents an anger symbol, often used to express feelings of frustration, annoyance, or irritation in various contexts."
😠,U+1F620,ANGRY FACE,['angry' 'emotion' 'negative' 'frustration' 'annoyance' 'disapproval'],"This emoji represents an angry face, expressing frustration, annoyance, or irritation, often used to convey negative emotions or to signal disapproval."
👿,U+1F47F,ANGRY FACE WITH HORNS,['angry' 'frustration' 'annoyance' 'mischievous' 'devilish' 'attitude'],"This emoji represents an angry face with horns, symbolizing frustration, annoyance, or a mischievous and devilish attitude."
😧,U+1F627,ANGUISHED FACE,"['anguished' 'distressed' 'sadness' 'disappointment' 'emotional pain'
 'face' 'emotion']","This emoji represents an anguished or distressed face, often used to express sadness, disappointment, or emotional pain."
🐜,U+1F41C,ANT,['ant' 'insect' 'hardworking' 'colony' 'social' 'nature'],"This emoji represents an ant, a small insect known for its hardworking nature, ability to carry heavy loads, and living in complex social colonies."
📶,U+1F4F6,ANTENNA BARS,"['antenna' 'signal' 'connectivity' 'communication' 'strength' 'Wi-Fi'
 'mobile']","This emoji represents antenna bars, symbolizing signal strength or connectivity, often used in communication devices like mobile phones and Wi-Fi networks."
😰,U+1F630,ANXIOUS FACE WITH SWEAT,['anxious' 'worried' 'stress' 'nervousness' 'unease' 'emotions' 'face'],"This emoji represents an anxious or worried face with sweat droplets, often used to express feelings of stress, nervousness, or unease."
🚛,U+1F69B,ARTICULATED LORRY,"['articulated lorry' 'semi-trailer truck' 'transportation' 'logistics'
 'cargo' 'vehicle' 'freight']","This emoji represents an articulated lorry, also known as a semi-trailer truck, a large vehicle used for transporting goods and materials over long distances."
🧑‍🎨,U+1F9D1 200D 1F3A8,ARTIST,"['artist' 'creativity' 'self-expression' 'arts' 'painting' 'brush'
 'artistry']","This emoji represents an artist, showing a person with a paintbrush, often used to convey creativity, self-expression, and the arts."
🧑🏿‍🎨,U+1F9D1 1F3FF 200D 1F3A8,ARTIST DARK SKIN TONE,"['artist' 'dark skin tone' 'creativity' 'self-expression' 'painting'
 'drawing' 'art']","This emoji represents an artist with dark skin tone, showing a person painting or drawing, often used to convey creativity, self-expression, and artistic pursuits."
